rv,smi,cur_sentence,seed
13.2,O=C(Nc1cc(C2CCCCN2C(=O)c2cccc(F)n2)[nH]n1)c1ccc(-c2nc3ccccc3[nH]2)cc1,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)c2cccc(F)n2)[nH]n1)c1ccc(-c2nc3ccccc3[nH]2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.8,CC#CCC(C(=O)NC1C2COCC1CN(C(=O)Cc1ccc3c(c1)CCCO3)C2)c1ccccc1,[BOS]CC#CC[C@@H](C(=O)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)Cc1ccc3c(c1)CCCO3)C2)c1ccccc1[EOS],42
12.2,O=C1COc2ccc(NC(=O)N3CCCCC3c3cccc(C(F)(F)F)c3)cc2N1,[BOS]O=C1COc2ccc(NC(=O)N3CCCC[C@@H]3c3cccc(C(F)(F)F)c3)cc2N1[EOS],42
13.1,CCC1CCC(C(=O)N2CCCCC2c2cc(NC(=O)c3ccc4nc(C)ccc4c3)n[nH]2)CC1,[BOS]CC[C@H]1CC[C@H](C(=O)N2CCCC[C@@H]2c2cc(NC(=O)c3ccc4nc(C)ccc4c3)n[nH]2)CC1[EOS],42
13.8,O=C(NC1C2COCC1CN(C(=O)C1CC1c1ccc(F)c(F)c1)C2)c1cc2cccnc2[nH]c1=O,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)[C@H]1C[C@H]1c1ccc(F)c(F)c1)C2)c1cc2cccnc2[nH]c1=O[EOS],42
12.1,O=C(c1cn(Cc2ccc(Cl)cc2Cl)nn1)N1CCC(c2ccccn2)CC1N1CCC(c2ccccc2F)C1,[BOS]O=C(c1cn(Cc2ccc(Cl)cc2Cl)nn1)N1CC[C@@H](c2ccccn2)C[C@@H]1N1CC[C@H](c2ccccc2F)C1[EOS],42
12.0,CC([NH2+]C(C)c1cccc(N2CCCC2=O)c1)C(=O)N1CC(=O)Nc2cc(C(F)(F)F)ccc21,[BOS]C[C@@H]([NH2+][C@H](C)C(=O)N1CC(=O)Nc2cc(C(F)(F)F)ccc21)c1cccc(N2CCCC2=O)c1[EOS][EOS],42
13.5,O=C(CC1NC(=O)c2ccccc2NC1=O)NCC1CC2c3ccccc3C1c1ccccc12,[BOS]O=C(C[C@@H]1NC(=O)c2ccccc2NC1=O)NC[C@H]1CC2c3ccccc3C1c1ccccc12[EOS],42
14.4,O=C(NCC1OCC2CCN(C(=O)C3(c4ccccc4)CC3)CC21)C1CCC(c2ccc(Cl)cc2)CC1,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)C3(c4ccccc4)CC3)C[C@@H]21)C1CCC(c2ccc(Cl)cc2)CC1[EOS],42
13.4,O=C(C(c1c[nH]c2cccc(F)c12)C(F)(F)F)N1CCC2(CCc3ccc(-c4ccoc4)cc32)CC1,[BOS]O=C([C@H](c1c[nH]c2cccc(F)c12)C(F)(F)F)N1CCC2(CCc3ccc(-c4ccoc4)cc32)CC1[EOS],42
12.2,O=C(NCc1ccnc(Oc2ccccc2F)c1)N1CCc2c(F)cc(F)cc2C1,[BOS]O=C(NCc1ccnc(Oc2ccccc2F)c1)N1CCc2c(F)cc(F)cc2C1[EOS],42
