rv,smi,cur_sentence,seed
11.6,O=C(NCc1cccc(-n2cncn2)c1)NC1CCC(c2ccc(F)cc2)C1,[BOS]O=C(NCc1cccc(-n2cncn2)c1)N[C@@H]1CC[C@H](c2ccc(F)cc2)C1[EOS],42
12.5,O=C(Nc1ccc(-c2cn3ccccc3[nH+]2)cc1)C(=O)Nc1ccc2c(c1)S(=O)(=O)CC2,[BOS]O=C(Nc1ccc2c(c1)S(=O)(=O)CC2)C(=O)Nc1ccc(-c2cn3ccccc3[nH+]2)cc1[EOS],42
12.1,Cc1cccc(NC(=O)NCC2C[NH+](Cc3ccc(F)c(F)c3)CC(C)O2)c1C,[BOS]Cc1cccc(NC(=O)NC[C@H]2C[NH+](Cc3ccc(F)c(F)c3)C[C@H](C)O2)c1C[EOS],42
11.0,Cc1onc(-c2ccccc2)c1-c1nnc(COC(=O)Cc2cnn(-c3ccccc3)c2C)o1,[BOS]Cc1c(CC(=O)OCc2nnc(-c3c(-c4ccccc4)noc3C)o2)cnn1-c1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,O=C1C([NH2+]C2CCOc3c(F)ccc(F)c32)CCN1c1ccc(C(F)(F)F)cc1,[BOS]O=C1[C@H]([NH2+][C@H]2CCOc3c(F)ccc(F)c32)CCN1c1ccc(C(F)(F)F)cc1[EOS],42
11.9,O=C(CC[NH+]1CCCC1c1cccc2ccccc12)Nc1cccc(C(=O)N2CCOCC2)c1,[BOS]O=C(CC[NH+]1CCC[C@H]1c1cccc2ccccc12)Nc1cccc(C(=O)N2CCOCC2)c1[EOS],42
11.8,O=C(Nc1ccc2ncccc2c1)c1cccc2c1OC(F)(F)C2,[BOS]O=C(Nc1ccc2ncccc2c1)c1cccc2c1OC(F)(F)C2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,O=C(NCC1CC(c2ccc3c(c2)CCO3)=NO1)c1ccnc2[nH]c(=O)[nH]c(=O)c12,[BOS]O=C(NC[C@H]1CC(c2ccc3c(c2)CCO3)=NO1)c1ccnc2[nH]c(=O)[nH]c(=O)c12[EOS],42
11.5,CC([NH2+]Cc1ccc2ncccc2c1)c1cccc(S(=O)(=O)NCc2ccc3c(c2)CCO3)c1,[BOS]C[C@H]([NH2+]Cc1ccc2ncccc2c1)c1cccc(S(=O)(=O)NCc2ccc3c(c2)CCO3)c1[EOS],42
12.5,CC([NH2+]Cc1cccc(NC(=O)c2cccc(F)c2)c1)c1ccccc1-c1ccncc1,[BOS]C[C@H]([NH2+]Cc1cccc(NC(=O)c2cccc(F)c2)c1)c1ccccc1-c1ccncc1[EOS],42
11.1,CC1=CCCN(C(=O)C(=O)Nc2cccc(Cn3cnc4cccnc43)c2)C1,[BOS]CC1=CCCN(C(=O)C(=O)Nc2cccc(Cn3cnc4cccnc43)c2)C1[EOS],42
12.4,CNC(=O)c1cccc(CCNC(=O)c2cc(NC(=O)C=C(C)C)ccc2C)c1,[BOS]CNC(=O)c1cccc(CCNC(=O)c2cc(NC(=O)C=C(C)C)ccc2C)c1[EOS],42
12.0,CC(Cc1cccc(O)c1)NC(=O)Nc1cccc(C(=O)c2ccccc2)c1,[BOS]C[C@@H](Cc1cccc(O)c1)NC(=O)Nc1cccc(C(=O)c2ccccc2)c1[EOS],42
11.9,CCc1cc(-c2noc(-c3cc4c(C(F)(F)F)cc(=O)[nH]c4o3)n2)ccc1F,[BOS]CCc1cc(-c2noc(-c3cc4c(C(F)(F)F)cc(=O)[nH]c4o3)n2)ccc1F[EOS],42
11.9,CN(Cc1nccn1Cc1ccccc1)C(=O)CCN1C(=O)CCc2cc(F)ccc21,[BOS]CN(Cc1nccn1Cc1ccccc1)C(=O)CCN1C(=O)CCc2cc(F)ccc21[EOS],42
13.0,O=C(NCc1ccc(OCC2CCC3(CC[NH2+]2)CO3)cc1)c1c2c(nc3ccccc13)CCO2,[BOS]O=C(NCc1ccc(OCC2CCC3(CC[NH2+]2)CO3)cc1)c1c2c(nc3ccccc13)CCO2[EOS],42
12.2,CC(=O)c1cccc(CNC(=O)Nc2cccc(C(=O)c3ccccc3)c2)c1,[BOS]CC(=O)c1cccc(CNC(=O)Nc2cccc(C(=O)c3ccccc3)c2)c1[EOS],42
12.3,O=C(NCc1ccc(-n2cnc3ccccc32)cc1Cl)c1cc[nH]c1CC1C=CC=CC12CNCCN2,[BOS]O=C(NCc1ccc(-n2cnc3ccccc32)cc1Cl)c1cc[nH]c1CC1C=CC=CC12CNCCN2[EOS],42
13.1,O=C(Nc1nc2ccc(NC(=O)C(O)c3ccccc3C(F)(F)F)cc2s1)c1ccccc1,[BOS]O=C(Nc1ccc2nc(NC(=O)c3ccccc3)sc2c1)[C@H](O)c1ccccc1C(F)(F)F[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,O=C(NCCC1OCCc2ccccc21)NCc1cccnc1Oc1cccc(C(F)(F)F)c1,[BOS]O=C(NCC[C@H]1OCCc2ccccc21)NCc1cccnc1Oc1cccc(C(F)(F)F)c1[EOS],42
12.4,CC(NC(=O)Nc1cccc2c1CNC2=O)c1cccc(NC(=O)Cc2ccccc2F)c1,[BOS]C[C@@H](NC(=O)Nc1cccc2c1CNC2=O)c1cccc(NC(=O)Cc2ccccc2F)c1[EOS],42
11.8,Cc1nc(-c2cccc(C(=O)OC(C)c3ccc(NC(=O)c4ccccc4)cc3)c2)no1,[BOS]Cc1nc(-c2cccc(C(=O)O[C@H](C)c3ccc(NC(=O)c4ccccc4)cc3)c2)no1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.3,CC(CC(=O)NCCNc1cncc(-c2nn[n-]n2)n1)c1cccc(C(F)(F)F)c1,[BOS]C[C@H](CC(=O)NCCNc1cncc(-c2nn[n-]n2)n1)c1cccc(C(F)(F)F)c1[EOS],42
12.6,Fc1ccc(C[NH+]2CCCC(c3cn4c([nH+]3)CCCC4)C2)c(-c2ccccc2)c1,[BOS]Fc1ccc(C[NH+]2CCC[C@H](c3cn4c([nH+]3)CCCC4)C2)c(-c2ccccc2)c1[EOS],42
11.9,O=C(CNC(=O)Nc1ccc(Oc2cc(F)cc(F)c2)nc1)Nc1cccc2ccccc12,[BOS]O=C(CNC(=O)Nc1ccc(Oc2cc(F)cc(F)c2)nc1)Nc1cccc2ccccc12[EOS],42
12.7,O=C(Nc1ccc(Oc2ccc3nn(-c4ccccc4)nc3c2)nc1)c1cccc2ccccc12,[BOS]O=C(Nc1ccc(Oc2ccc3nn(-c4ccccc4)nc3c2)nc1)c1cccc2ccccc12[EOS],42
12.4,Cc1c(NC(=O)c2cc(C(=O)c3cccc4ccccc34)c[nH]2)n[nH]c1C(F)(F)F,[BOS]Cc1c(NC(=O)c2cc(C(=O)c3cccc4ccccc34)c[nH]2)n[nH]c1C(F)(F)F[EOS][EOS][EOS],42
11.3,Cc1cc(CCNC(=O)Nc2cc(F)cc(-c3nn[n-]n3)c2)ccc1OC(C)C,[BOS]Cc1cc(CCNC(=O)Nc2cc(F)cc(-c3nn[n-]n3)c2)ccc1OC(C)C[EOS],42
12.7,Cc1cc(-c2nn[n-]n2)cc(NC(=O)c2ccc3c(c2)CCC(=O)N3)c1O,[BOS]Cc1cc(-c2nn[n-]n2)cc(NC(=O)c2ccc3c(c2)CCC(=O)N3)c1O[EOS],42
12.5,O=C(NCC1(c2ccc(F)cc2F)CC1)c1ccc(C(=O)c2ccnc3c(O)cccc23)c([N+](=O)[O-])c1,[BOS]O=C(NCC1(c2ccc(F)cc2F)CC1)c1ccc(C(=O)c2ccnc3c(O)cccc23)c([N+](=O)[O-])c1[EOS],42
12.0,CC(NC(=O)c1cc2cc([N+](=O)[O-])ccc2[nH]1)c1cccc(NC(=O)Cc2ccccc2F)c1,[BOS]C[C@H](NC(=O)c1cc2cc([N+](=O)[O-])ccc2[nH]1)c1cccc(NC(=O)Cc2ccccc2F)c1[EOS],42
11.7,Cc1cc(NCc2ccc3c(c2)OCC(=O)N3)c2ccc(F)cc2[nH+]1,[BOS]Cc1cc(NCc2ccc3c(c2)OCC(=O)N3)c2ccc(F)cc2[nH+]1[EOS],42
11.7,Cn1nc(CNC(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc2c1=O,[BOS]Cn1nc(CNC(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc2c1=O[EOS],42
11.7,CC(OC(=O)c1cc(=O)c2ccc(F)cc2n1C)c1noc(Cc2ccccc2)n1,[BOS]CC(OC(=O)c1cc(=O)c2ccc(F)cc2n1C)c1noc(Cc2ccccc2)n1[EOS],42
11.8,Fc1ccc(N2CCCC(Nc3cc(Cl)[nH+]c4ccccc34)C2)cc1F,[BOS]Fc1ccc(N2CCC[C@H](Nc3cc(Cl)[nH+]c4ccccc34)C2)cc1F[EOS],42
11.6,Cc1c(NC(=O)CCCCc2cccc(C(F)(F)F)c2)cccc1-n1cn[nH]c1=O,[BOS]Cc1c(NC(=O)CCCCc2cccc(C(F)(F)F)c2)cccc1-n1cn[nH]c1=O[EOS],42
11.5,O=C(NC1CCC(CNC(=O)C2CC23CC3)C1)c1ccc(F)c2ccccc12,[BOS]O=C(N[C@@H]1CC[C@H](CNC(=O)[C@@H]2CC23CC3)C1)c1ccc(F)c2ccccc12[EOS],42
11.9,Cn1nnnc1-c1cccc(NC(=O)C2CC(c3cc(F)ccc3F)=NO2)c1,[BOS]Cn1nnnc1-c1cccc(NC(=O)[C@@H]2CC(c3cc(F)ccc3F)=NO2)c1[EOS],42
12.2,CC(=O)c1cc(NC(=O)c2cc(Cl)c3ccccc3c2O)cc(C(N)=O)c1,[BOS]CC(=O)c1cc(NC(=O)c2cc(Cl)c3ccccc3c2O)cc(C(N)=O)c1[EOS],42
11.0,CC1CN(C(=O)c2ccc(NC(=O)C(=O)NCC(C(C)C)[NH+]3CCc4ccccc4C3)cc2)CC(C)O1,[BOS]CC(C)[C@H](CNC(=O)C(=O)Nc1ccc(C(=O)N2C[C@@H](C)O[C@@H](C)C2)cc1)[NH+]1CCc2ccccc2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,Cc1nc2c(C(=O)OC(C)C(=O)NC(=O)Nc3ccc(C)c(C)c3)cccc2o1,[BOS]Cc1nc2c(C(=O)O[C@H](C)C(=O)NC(=O)Nc3ccc(C)c(C)c3)cccc2o1[EOS],42
12.5,Cn1nnnc1-c1cccc(NC(=O)C(=O)NCc2ccc(-c3ccc4c(c3)CCCO4)o2)c1,[BOS]Cn1nnnc1-c1cccc(NC(=O)C(=O)NCc2ccc(-c3ccc4c(c3)CCCO4)o2)c1[EOS],42
12.6,Cc1ccc(NC(=O)NCC(=O)Nc2ccc(F)c(F)c2F)c(C)c1C(=O)N1CCCC1,[BOS]Cc1ccc(NC(=O)NCC(=O)Nc2ccc(F)c(F)c2F)c(C)c1C(=O)N1CCCC1[EOS],42
11.8,OC(C[NH2+]Cc1c[nH]c2ccccc12)c1cccc(-c2nnc(-c3ccc4ccccc4c3)o2)c1,[BOS]O[C@@H](C[NH2+]Cc1c[nH]c2ccccc12)c1cccc(-c2nnc(-c3ccc4ccccc4c3)o2)c1[EOS],42
11.8,Cc1cccn2cc(COc3ccc(CNc4nc5ccc(Cl)cc5c(=O)[nH]4)cc3)[nH+]c12,[BOS]Cc1cccn2cc(COc3ccc(CNc4nc5ccc(Cl)cc5c(=O)[nH]4)cc3)[nH+]c12[EOS],42
