rv,smi,cur_sentence,seed
9.8,O=C1CC(n2c([O-])c(-c3ccc(O)cc3)[nH]c2=O)CN1c1ccc2c(c1)Cc1ccccc1-2,[BOS]O=C1C[C@@H](n2c([O-])c(-c3ccc(O)cc3)[nH]c2=O)CN1c1ccc2c(c1)Cc1ccccc1-2[EOS],42
9.5,CC1Oc2ccc(-c3nc(Cc4cccc5ccccc45)no3)cc2N(C)C1=O,[BOS]C[C@@H]1Oc2ccc(-c3nc(Cc4cccc5ccccc45)no3)cc2N(C)C1=O[EOS],42
10.5,O=C(Cc1coc2ccc3ccccc3c12)Nc1cccc(-n2ncc3c(=O)[nH]cnc32)c1,[BOS]O=C(Cc1coc2ccc3ccccc3c12)Nc1cccc(-n2ncc3c(=O)[nH]cnc32)c1[EOS],42
8.9,O=C(NCC12CCCC1CN(C(=O)C1CC=CC1)C2)c1ccc2cc[nH]c2c1,[BOS]O=C(NC[C@]12CCC[C@H]1CN(C(=O)C1CC=CC1)C2)c1ccc2cc[nH]c2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.2,Cc1cccc(CC(=O)N2CCCCC2c2cc(NC(=O)C3CC(=O)N(c4c(C)cccc4C)C3)n[nH]2)c1,[BOS]Cc1cccc(CC(=O)N2CCCC[C@@H]2c2cc(NC(=O)[C@@H]3CC(=O)N(c4c(C)cccc4C)C3)n[nH]2)c1[EOS][EOS][EOS][EOS][EOS][EOS],42
9.5,Cn1cnc2c(N3CCCC3)nc(C3CC[NH+](Cc4ccc(-c5ccncc5)cc4F)CC3)cc21,[BOS]Cn1cnc2c(N3CCCC3)nc(C3CC[NH+](Cc4ccc(-c5ccncc5)cc4F)CC3)cc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.9,Cc1ccc2oc(C(=O)N3CCCCC3c3cc(NC(=O)C4COc5ccccc5O4)n[nH]3)cc2n1,[BOS]Cc1ccc2oc(C(=O)N3CCCC[C@H]3c3cc(NC(=O)[C@H]4COc5ccccc5O4)n[nH]3)cc2n1[EOS],42
9.6,CC(NC(=O)NC(C)c1ccc2[nH]c(=O)oc2c1)c1ccc(-c2ccc(F)cc2)cc1,[BOS]C[C@H](NC(=O)N[C@@H](C)c1ccc2[nH]c(=O)oc2c1)c1ccc(-c2ccc(F)cc2)cc1[EOS],42
9.5,Cc1nc(NC(O)=Nc2ccccc2-c2ccccc2)sc1Cc1ccc(C(F)(F)F)c2ccccc12,[BOS]Cc1nc(NC(O)=Nc2ccccc2-c2ccccc2)sc1Cc1ccc(C(F)(F)F)c2ccccc12[EOS][EOS][EOS][EOS],42
9.2,Cn1c(=O)n(C)c2cc(-n3cc(CN=Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)nn3)ccc21,[BOS]Cn1c(=O)n(C)c2cc(-n3cc(CN=Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)nn3)ccc21[EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,Cc1nn(C)c2nc(-c3ccccc3)cc(-c3nc(C4CCc5ccccc5C4)no3)c12,[BOS]Cc1nn(C)c2nc(-c3ccccc3)cc(-c3nc([C@H]4CCc5ccccc5C4)no3)c12[EOS],42
9.4,O=C(NC1CCc2nc(NC(=O)C3CCc4cccc(Cl)c43)sc2C1)C1=COCCC1,[BOS]O=C(N[C@H]1CCc2nc(NC(=O)[C@H]3CCc4cccc(Cl)c43)sc2C1)C1=COCCC1[EOS][EOS][EOS],42
9.4,CC(=O)N1c2ccc(S(=O)(=O)NCC3CC(c4ccccc4-c4ccccn4)CO3)cc2CC1C,[BOS]CC(=O)N1c2ccc(S(=O)(=O)NC[C@H]3C[C@@H](c4ccccc4-c4ccccn4)CO3)cc2C[C@H]1C[EOS][EOS][EOS][EOS],42
8.8,Cc1ccc(C)c(-n2c[nH+]c3cc(C(=O)N4CCN(Cc5ccccc5)CC4)ccc32)c1,[BOS]Cc1ccc(C)c(-n2c[nH+]c3cc(C(=O)N4CCN(Cc5ccccc5)CC4)ccc32)c1[EOS],42
9.8,[NH3+]CC(C(=O)N1CCOC2(CCN(C(=O)c3cnc4c(F)c(F)ccc4c3)C2)C1)c1ccccc1,[BOS][NH3+]C[C@@H](C(=O)N1CCO[C@@]2(CCN(C(=O)c3cnc4c(F)c(F)ccc4c3)C2)C1)c1ccccc1[EOS][EOS],42
9.5,CC1COC(c2ccccc2)C(C)N1C(=O)c1cccc(S(=O)(=O)NCc2ccc3c(c2)OCO3)c1,[BOS]C[C@@H]1CO[C@H](c2ccccc2)[C@@H](C)N1C(=O)c1cccc(S(=O)(=O)NCc2ccc3c(c2)OCO3)c1[EOS],42
10.5,O=C(c1ccc2c(c1)CCC(=O)N2CC(O)=NC12CCCC1CCC2)N1Cc2ccccc2N2CCCC2C1,[BOS]O=C1CCc2cc(C(=O)N3Cc4ccccc4N4CCC[C@@H]4C3)ccc2N1CC(O)=NC12CCCC1CCC2[EOS],42
9.9,O=C(c1cc(F)c(-c2ccc3c(c2)OCO3)cc1F)N1CCC(F)(F)C2(CCN(c3ncccn3)CC2)C1,[BOS]O=C(c1cc(F)c(-c2ccc3c(c2)OCO3)cc1F)N1CCC(F)(F)C2(CCN(c3ncccn3)CC2)C1[EOS][EOS][EOS],42
9.9,CC(C)(C)n1nc(-c2ccc3nnc(-c4ccc5ccccc5c4)n3c2)c2ccccc21,[BOS]CC(C)(C)n1nc(-c2ccc3nnc(-c4ccc5ccccc5c4)n3c2)c2ccccc21[EOS],42
8.9,O=C(CCCc1ccncc1)N1CCC(C2CCCCN2C(=O)C2CC2c2ccc(Cl)cc2)CC1,[BOS]O=C(CCCc1ccncc1)N1CCC([C@H]2CCCCN2C(=O)[C@H]2C[C@@H]2c2ccc(Cl)cc2)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.5,CC(C)[NH+]=c1[nH]c(COc2ccc(C=c3c(=O)c4cccc5cccc3c54)cc2)nc2sc(-c3ccccc3)cc12,[BOS]CC(C)[NH+]=c1[nH]c(COc2ccc(C=C3C(=O)c4cccc5cccc3c45)cc2)nc2sc(-c3ccccc3)cc12[EOS],42
9.2,O=C(NCC1CCCC[NH+](Cc2ccccc2)C1)C1(O)c2ccccc2-c2ccccc21,[BOS]O=C(NC[C@@H]1CCCC[NH+](Cc2ccccc2)C1)C1(O)c2ccccc2-c2ccccc21[EOS],42
9.7,Cc1ccc2cc(C(=O)NC3CC[NH+](C4CCN(C(=O)Cc5c(C)[nH]n(C)c5=O)CC4)CC3)ccc2n1,[BOS]Cc1ccc2cc(C(=O)NC3CC[NH+](C4CCN(C(=O)Cc5c(C)[nH]n(C)c5=O)CC4)CC3)ccc2n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.3,O=C(c1ccc2cc[nH]c2c1)N1CCC2(CCCN(C(=O)c3cnc4cccc(Cl)c4c3)C2)CC1,[BOS]O=C(c1cnc2cccc(Cl)c2c1)N1CCCC2(CCN(C(=O)c3ccc4cc[nH]c4c3)CC2)C1[EOS][EOS][EOS][EOS],42
9.7,O=C(C1C[NH2+]CC12C(=O)Nc1ccccc12)N1CCC(F)(F)C2(CCN(c3cnccn3)C2)C1,[BOS]O=C([C@H]1C[NH2+]C[C@]12C(=O)Nc1ccccc12)N1CCC(F)(F)[C@]2(CCN(c3cnccn3)C2)C1[EOS][EOS][EOS],42
10.1,O=C(Nc1cc(C2CCCCN2C(=O)C2Cc3ccccc3C[NH2+]2)[nH]n1)c1n[nH]c2cc(Cl)ccc12,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)[C@H]2Cc3ccccc3C[NH2+]2)[nH]n1)c1n[nH]c2cc(Cl)ccc12[EOS],42
10.7,CC(NC(=O)C1CCC(N2CCCc3csc(c3)CCSCC2)CC1)c1ccc2nc(O)ccc2c1,[BOS]C[C@H](NC(=O)[C@H]1CC[C@H](N2CCSCCc3scc(c3)CCC2)CC1)c1ccc2nc(O)ccc2c1[EOS],42
9.6,CC(NC(=O)N1CC(c2ccccc2)C2COCCC21)c1ccc2c(c1)CCC(=O)N2C,[BOS]C[C@H](NC(=O)N1C[C@H](c2ccccc2)[C@@H]2COCC[C@@H]21)c1ccc2c(c1)CCC(=O)N2C[EOS],42
10.6,[N-]=[N+]=NC1(c2nc3ccc(C(=O)N4C5CCCC4CCC5)cc3[nH]2)CCOC(c2cccc(F)c2Cl)O1,[BOS][N-]=[N+]=N[C@]1(c2nc3ccc(C(=O)N4C5CCCC4CCC5)cc3[nH]2)CCO[C@H](c2cccc(F)c2Cl)O1[EOS],42
10.6,O=C(NC1(c2ccc(NC(=O)C3C4CCCC3c3ccccc3N4)cc2)CCC1)c1cc2ncccc2[nH]1,[BOS]O=C(NC1(c2ccc(NC(=O)[C@@H]3[C@H]4CCC[C@H]3c3ccccc3N4)cc2)CCC1)c1cc2ncccc2[nH]1[EOS],42
9.6,Cc1cc(-c2noc(CC3CCc4cc(F)ccc4C3)n2)ccc1-n1cnc2ccccc21,[BOS]Cc1cc(-c2noc(C[C@@H]3CCc4cc(F)ccc4C3)n2)ccc1-n1cnc2ccccc21[EOS],42
9.6,O=C1CCCC(c2ccc(C(=O)NC3CC=C(c4ccc(F)cc4)CC3)cc2)N1,[BOS]O=C1CCC[C@@H](c2ccc(C(=O)N[C@H]3CC=C(c4ccc(F)cc4)CC3)cc2)N1[EOS],42
9.3,O=C(c1ccc([N-]S(=O)(=O)c2cccc([N+](=O)[O-])c2)cc1)N1CC=C(c2cccc3ccccc23)CC1,[BOS]O=C(c1ccc([N-]S(=O)(=O)c2cccc([N+](=O)[O-])c2)cc1)N1CC=C(c2cccc3ccccc23)CC1[EOS][EOS][EOS][EOS][EOS],42
10.1,O=C(Nc1cc(C2CCCCN2C(=O)C2Cc3ccccc3O2)[nH]n1)C1CCc2ccccc2C1,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)[C@@H]2Cc3ccccc3O2)[nH]n1)[C@H]1CCc2ccccc2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.0,COc1ccc(C(C)C(=O)NC2(c3ccc(NC(=O)C4CCC5CCC(=O)N5C4)cc3)CCC2)cc1,[BOS]COc1ccc([C@H](C)C(=O)NC2(c3ccc(NC(=O)[C@@H]4CC[C@@H]5CCC(=O)N5C4)cc3)CCC2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.3,O=C(Nc1ccc(C2(NC(=O)c3cccc4cccnc34)CCC2)cc1)c1cnccc1C(F)(F)F,[BOS]O=C(NC1(c2ccc(NC(=O)c3cnccc3C(F)(F)F)cc2)CCC1)c1cccc2cccnc12[EOS][EOS][EOS],42
9.7,Cc1ccccc1C1CCN(C(=O)c2cc(-c3cccc(-c4nn[n-]n4)c3)no2)C1,[BOS]Cc1ccccc1[C@@H]1CCN(C(=O)c2cc(-c3cccc(-c4nn[n-]n4)c3)no2)C1[EOS],42
10.5,O=C(Nc1cccc(NC(=O)N2CC(c3ccccc3)C3COCCC32)c1)Nc1cccc2c1CCCC2,[BOS]O=C(Nc1cccc(NC(=O)N2C[C@H](c3ccccc3)[C@@H]3COCC[C@@H]32)c1)Nc1cccc2c1CCCC2[EOS],42
10.3,Cc1cccc(-c2cc(C(F)(F)N3CCC4(COCc5cnc(-c6ccccc6)nc54)C3)cc(Cl)n2)c1,[BOS]Cc1cccc(-c2cc(C(F)(F)N3CC[C@]4(COCc5cnc(-c6ccccc6)nc54)C3)cc(Cl)n2)c1[EOS],42
10.0,Cc1cccc2c1OC(CNC(=O)c1nnn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c1C)C2,[BOS]Cc1cccc2c1O[C@H](CNC(=O)c1nnn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c1C)C2[EOS],42
9.7,CC(C(=O)Nc1n[nH]c(Cc2cccc(F)c2)n1)c1ccc2ccccc2c1,[BOS]C[C@H](C(=O)Nc1n[nH]c(Cc2cccc(F)c2)n1)c1ccc2ccccc2c1[EOS],42
12.2,O=C1C2C3c4ccccc4C(c4ccccc4)(c4ccccc43)C2C(=O)N1CCC1=c2ccccc2=[NH+]C1,[BOS]O=C1[C@@H]2[C@@H]3c4ccccc4[C@](c4ccccc4)(c4ccccc43)[C@@H]2C(=O)N1CCC1=c2ccccc2=[NH+]C1[EOS],42
10.0,OC(=Nc1ccc(CN2CCc3ccccc32)cc1)N1CC=C(c2c[nH]c3cc(F)ccc23)CC1,[BOS]OC(=Nc1ccc(CN2CCc3ccccc32)cc1)N1CC=C(c2c[nH]c3cc(F)ccc23)CC1[EOS],42
11.5,CC(Cc1ccccc1)c1cc(-c2nc(-c3ccc4c(c3)OCCc3ccccc3-4)nnc2O)c2ncncc2c1,[BOS]C[C@@H](Cc1ccccc1)c1cc(-c2nc(-c3ccc4c(c3)OCCc3ccccc3-4)nnc2O)c2ncncc2c1[EOS],42
11.1,Fc1cccc(-c2ccc(CN3NCC4C3CCCN4c3nc(-c4ccccc4)nc4ccccc34)cc2)c1N1CCCCCC1,[BOS]Fc1cccc(-c2ccc(CN3NCC4C3CCCN4c3nc(-c4ccccc4)nc4ccccc34)cc2)c1N1CCCCCC1[EOS],42
9.9,Cc1ccc(C(=O)N2CCCCC2c2cc(NC(=O)C3CSCN3C(=O)C3CCC(=O)N3)n[nH]2)cc1C,[BOS]Cc1ccc(C(=O)N2CCCC[C@H]2c2cc(NC(=O)[C@@H]3CSCN3C(=O)[C@@H]3CCC(=O)N3)n[nH]2)cc1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.6,O=C(NC1C2COCC1CN(C(=O)Cc1ccc3ccccc3c1)C2)C1C2CCCC1c1ccccc1N2,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)Cc1ccc3ccccc3c1)C2)[C@H]1[C@@H]2CCC[C@H]1c1ccccc1N2[EOS],42
10.0,Cc1ccccc1OCC(=O)Nc1cc(C2CCCCN2C(=O)CCc2ccc(C)c3ccccc23)[nH]n1,[BOS]Cc1ccc(CCC(=O)N2CCCC[C@@H]2c2cc(NC(=O)COc3ccccc3C)n[nH]2)c2ccccc12[EOS],42
9.3,O=C(NC1CCC(c2ccc(F)cc2)C1)C12CC3CC(C1)CC(C(F)(F)F)(C3)C2,[BOS]O=C(N[C@@H]1CC[C@H](c2ccc(F)cc2)C1)C12C[C@H]3C[C@@H](C1)CC(C(F)(F)F)(C3)C2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.7,O=C(c1ccccc1)c1ccc2[nH]c(C(=O)Nc3noc4cnccc34)c(-c3cccc4c3Cc3ccccc3-4)c2c1,[BOS]O=C(Nc1noc2cnccc12)c1[nH]c2ccc(C(=O)c3ccccc3)cc2c1-c1cccc2c1Cc1ccccc1-2[EOS][EOS][EOS],42
9.6,Fc1ccccc1Cn1c2ccccc2c2c(C3(c4nc(-c5ccc(-c6ccccc6)cc5)no4)CC3(F)F)c[nH]c21,[BOS]FC1(F)C[C@@]1(c1nc(-c2ccc(-c3ccccc3)cc2)no1)c1c[nH]c2c1c1ccccc1n2Cc1ccccc1F[EOS][EOS][EOS],42
11.2,O=C(Nc1cc(C2CCCCN2C(=O)C2CCCCC2(F)F)[nH]n1)c1ccc2c(c1)Cc1ccccc1-2,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)[C@@H]2CCCCC2(F)F)[nH]n1)c1ccc2c(c1)Cc1ccccc1-2[EOS],42
9.9,CC(OC(=O)c1ccc2c(c1)C(=O)NCc1ccccc1-2)c1nc(-c2ccccc2)cs1,[BOS]C[C@H](OC(=O)c1ccc2c(c1)C(=O)NCc1ccccc1-2)c1nc(-c2ccccc2)cs1[EOS],42
9.1,CC1C(Cc2ccccc2)CCN1C(=O)C(c1cccnc1)[NH+]1CCN(C(=O)c2ccccc2)CC1,[BOS]C[C@@H]1[C@H](Cc2ccccc2)CCN1C(=O)[C@H](c1cccnc1)[NH+]1CCN(C(=O)c2ccccc2)CC1[EOS][EOS][EOS][EOS][EOS],42
10.4,O=C(NC1CCc2nc(NC(=O)C3CC3c3ccc(F)c(F)c3)sc2C1)c1ccc2ncncc2c1,[BOS]O=C(N[C@@H]1CCc2nc(NC(=O)[C@@H]3C[C@H]3c3ccc(F)c(F)c3)sc2C1)c1ccc2ncncc2c1[EOS][EOS][EOS],42
10.0,Cc1cc(C(=O)N2CCCCC2C2CCN(C(=O)C3Cc4ccccc4O3)CC2)c2cc(O)ccc2n1,[BOS]Cc1cc(C(=O)N2CCCC[C@H]2C2CCN(C(=O)[C@H]3Cc4ccccc4O3)CC2)c2cc(O)ccc2n1[EOS],42
11.1,O=C(NC1(c2ccc(NC(=O)C3C4CCCC3c3ccccc3N4)cc2)CCC1)c1cnc2[nH]ncc2c1,[BOS]O=C(NC1(c2ccc(NC(=O)[C@@H]3[C@@H]4CCC[C@H]3c3ccccc3N4)cc2)CCC1)c1cnc2[nH]ncc2c1[EOS],42
