rv,smi,cur_sentence,seed
13.4,O=C(Cn1ccc2ccccc21)Nc1ccc(C2(NC(=O)c3ccnc4ccccc34)CCC2)cc1,[BOS]O=C(Cn1ccc2ccccc21)Nc1ccc(C2(NC(=O)c3ccnc4ccccc34)CCC2)cc1[EOS],42
12.6,O=C(NCC1CCCc2ccccc21)C(=O)Nc1cccc(N2C(=O)c3ccccc3C2=O)c1,[BOS]O=C(NC[C@H]1CCCc2ccccc21)C(=O)Nc1cccc(N2C(=O)c3ccccc3C2=O)c1[EOS],42
13.8,O=C(c1n[nH]c2ccc(C(F)(F)F)cc12)N1CCc2c(-c3ccncc3)cnn2C12CCCC(F)(F)C2,[BOS]O=C(c1n[nH]c2ccc(C(F)(F)F)cc12)N1CCc2c(-c3ccncc3)cnn2C12CCCC(F)(F)C2[EOS],42
13.4,O=C(NN=C1C(c2ccc3ccccc3c2)C(=O)C(=O)N1CCc1c[nH]c2ccccc12)c1ccc(Br)cc1,[BOS]O=C1C(=O)N(CCc2c[nH]c3ccccc23)C(=NNC(=O)c2ccc(Br)cc2)C1c1ccc2ccccc2c1[EOS],42
12.1,O=C1CC(C(=O)N2CCCCC2c2cc(NC(=O)CCc3cncc(C(F)(F)F)c3)n[nH]2)CCN1,[BOS]O=C(CCc1cncc(C(F)(F)F)c1)Nc1cc([C@H]2CCCCN2C(=O)[C@@H]2CCNC(=O)C2)[nH]n1[EOS][EOS][EOS],42
13.5,C[NH+]1CCC(CNC(=O)c2c3c(nc4ccccc24)CCC3)C1C1c2ccccc2-c2ccccc21,[BOS]C[NH+]1CC[C@H](CNC(=O)c2c3c(nc4ccccc24)CCC3)[C@H]1C1c2ccccc2-c2ccccc21[EOS],42
13.0,OC1CC2(CC[NH+](CC(O)c3cc(Cl)cc4c3-c3ccc(Cl)cc3C4)C2)Oc2ccccc21,[BOS]O[C@@H](C[NH+]1CC[C@@]2(C[C@H](O)c3ccccc3O2)C1)c1cc(Cl)cc2c1-c1ccc(Cl)cc1C2[EOS],42
13.8,O=C(NCC1OCC2CCN(C(=O)Cc3cccc4ccccc34)CC21)c1cc(=O)[nH]c2ccccc12,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3cccc4ccccc34)C[C@@H]21)c1cc(=O)[nH]c2ccccc12[EOS],42
14.1,FC(F)(F)c1ccc(C([NH2+]CC2CC3c4ccccc4C2c2ccccc23)c2nnc(-c3ccccc3)o2)cc1,[BOS]FC(F)(F)c1ccc([C@H]([NH2+]C[C@@H]2CC3c4ccccc4C2c2ccccc23)c2nnc(-c3ccccc3)o2)cc1[EOS],42
12.5,Cc1cc(NC(=O)C(=O)NC2CCOc3c(F)cccc32)ccc1-n1nnnc1C(C)C,[BOS]Cc1cc(NC(=O)C(=O)N[C@@H]2CCOc3c(F)cccc32)ccc1-n1nnnc1C(C)C[EOS],42
12.9,N#Cc1ccc(F)c(C(=O)NCC23CCCOC2CCN(C(=O)Cc2cc4cccnc4cc2F)C3)c1,[BOS]N#Cc1ccc(F)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)Cc2cc4cccnc4cc2F)C3)c1[EOS],42
