rv,smi,cur_sentence,seed
12.7,O=C(c1ccccc1)c1cccc(-n2c([O-])c(Cc3cccc4ccccc34)[nH]c2=O)c1,[BOS]O=C(c1ccccc1)c1cccc(-n2c([O-])c(Cc3cccc4ccccc34)[nH]c2=O)c1[EOS],42
11.7,COc1ccc2onc(C(=O)[NH+]=C(N)c3cccc4ccccc34)c2c1,[BOS]COc1ccc2onc(C(=O)[NH+]=C(N)c3cccc4ccccc34)c2c1[EOS],42
12.0,Cc1cccc(-c2nnc3n2CC(C(=O)N2CCCC(c4cc5ccccc5[nH]4)C2)CC3)c1,[BOS]Cc1cccc(-c2nnc3n2C[C@H](C(=O)N2CCC[C@@H](c4cc5ccccc5[nH]4)C2)CC3)c1[EOS],42
11.8,O=C(CSc1nnc(-c2ccc3ccccc3c2)o1)N1Cc2ccnn2CC(C(=O)N2CCOCC2)C1,[BOS]O=C(CSc1nnc(-c2ccc3ccccc3c2)o1)N1Cc2ccnn2C[C@H](C(=O)N2CCOCC2)C1[EOS],42
11.5,Cc1ccnc2ccc(C(=O)NCc3ccc(Oc4ccc(C(F)(F)F)cc4)cc3)cc12,[BOS]Cc1ccnc2ccc(C(=O)NCc3ccc(Oc4ccc(C(F)(F)F)cc4)cc3)cc12[EOS],42
12.1,Cn1cc[nH+]c1C(NC(=O)Cc1cccc2ccccc12)c1cccc(C(F)(F)F)c1,[BOS]Cn1cc[nH+]c1[C@@H](NC(=O)Cc1cccc2ccccc12)c1cccc(C(F)(F)F)c1[EOS],42
12.8,Cc1ccc2oc(C(=O)Oc3ccc4cc(C(=O)NC5c6ccccc6Cc6ccncc65)c(=O)oc4c3)cc2c1,[BOS]Cc1ccc2oc(C(=O)Oc3ccc4cc(C(=O)NC5c6cnccc6Cc6ccccc65)c(=O)oc4c3)cc2c1[EOS][EOS][EOS],42
12.8,O=C(c1n[nH]c(=O)c2ccccc12)N1CCC(n2c(=O)oc3ccc(F)cc32)C(F)C1,[BOS]O=C(c1n[nH]c(=O)c2ccccc12)N1CCC(n2c(=O)oc3ccc(F)cc32)C(F)C1[EOS],42
12.1,Cc1nn(-c2ccccn2)c(C)c1C[NH2+]C1Cc2ccccc2-c2ccccc21,[BOS]Cc1nn(-c2ccccn2)c(C)c1C[NH2+][C@H]1Cc2ccccc2-c2ccccc21[EOS],42
11.5,CC(C)(C(=O)NCc1ccc(F)c(Cl)c1)c1cccc2ccccc12,[BOS]CC(C)(C(=O)NCc1ccc(F)c(Cl)c1)c1cccc2ccccc12[EOS],42
