rv,smi,cur_sentence,seed
12.2,NC(=O)c1cccc(CNc2cc3c(cc2F)C2CC3N(c3cccc4cc(F)cnc34)C(=O)OC2(F)F)c1,[BOS]NC(=O)c1cccc(CNc2cc3c(cc2F)[C@H]2C[C@H]3N(c3cccc4cc(F)cnc34)C(=O)OC2(F)F)c1[EOS],42
12.1,O=C(Cn1ncn(-c2cccc(C[NH+]3CCN(c4cccc[nH+]4)CC3)c2)c1=O)c1ccc(F)c(C(F)(F)F)c1,[BOS]O=C(Cn1ncn(-c2cccc(C[NH+]3CCN(c4cccc[nH+]4)CC3)c2)c1=O)c1ccc(F)c(C(F)(F)F)c1[EOS][EOS][EOS],42
13.4,Fc1cc(F)c(F)c(-c2cc(-c3nc(-c4cn(-c5ccc(C6=NCCN6)nn5)nn4)no3)ccn2)c1F,[BOS]Fc1cc(F)c(F)c(-c2cc(-c3nc(-c4cn(-c5ccc(C6=NCCN6)nn5)nn4)no3)ccn2)c1F[EOS],42
12.9,O=C(Nc1cccc(-c2coc(-c3ccccc3)n2)c1)N1CC2C3C=CC(CC3)C2C1,[BOS]O=C(Nc1cccc(-c2coc(-c3ccccc3)n2)c1)N1C[C@H]2[C@H](C1)[C@H]1C=C[C@H]2CC1[EOS],42
11.7,NC(=[NH+]C(=O)c1ccc(C(=O)c2ccccc2)cc1)c1c[nH+]c2cc(Br)ccn12,[BOS]O=C(c1ccccc1)c1ccc(C(=O)[NH+]=C(N)c2c[nH+]c3cc(Br)ccn23)cc1[EOS],42
12.7,Cc1ccc(-n2nc(C(=O)Nc3cc(CCc4ccccc4C)[nH]n3)c3c2CCC3)c(F)c1,[BOS]Cc1ccc(-n2nc(C(=O)Nc3cc(CCc4ccccc4C)[nH]n3)c3c2CCC3)c(F)c1[EOS],42
11.3,Cc1cc(NC(=O)c2cc(=O)[nH]c3ccc(S(=O)(=O)Nc4ccc(F)cc4)cc23)c(C)c(C)c1O,[BOS]Cc1cc(NC(=O)c2cc(=O)[nH]c3ccc(S(=O)(=O)Nc4ccc(F)cc4)cc23)c(C)c(C)c1O[EOS],42
11.5,O=C(NCCc1ccc(Oc2ccc(F)cc2)cc1)Nc1cc2c(cn1)CCCC2,[BOS]O=C(NCCc1ccc(Oc2ccc(F)cc2)cc1)Nc1cc2c(cn1)CCCC2[EOS],42
13.1,CN(c1ccccc1)c1ccc2[nH]c(-c3cccc(C(=O)NCCc4ccc(C(F)(F)F)cc4)c3)cc2c1,[BOS]CN(c1ccccc1)c1ccc2[nH]c(-c3cccc(C(=O)NCCc4ccc(C(F)(F)F)cc4)c3)cc2c1[EOS],42
11.3,CC(=O)Nc1cc(-c2ccc(S(=O)(=O)Nc3cc(F)cc(F)c3)cn2)c2cc[nH]c2c1,[BOS]CC(=O)Nc1cc(-c2ccc(S(=O)(=O)Nc3cc(F)cc(F)c3)cn2)c2cc[nH]c2c1[EOS],42
11.6,O=C(NC1CCC(c2ccc(Cl)cc2)C1)c1nn(-c2ccc(Cl)cc2)c2c1CCCCC2,[BOS]O=C(N[C@H]1CC[C@H](c2ccc(Cl)cc2)C1)c1nn(-c2ccc(Cl)cc2)c2c1CCCCC2[EOS],42
11.8,CC(NC(=O)NCc1cccc(NC(=O)c2ccncc2)c1)c1ccc(F)c2ccccc12,[BOS]C[C@@H](NC(=O)NCc1cccc(NC(=O)c2ccncc2)c1)c1ccc(F)c2ccccc12[EOS],42
11.9,O=C(Nc1cc(C2CCCCN2C(=O)c2cc3n(n2)CCNC3=O)[nH]n1)c1nc2ccccn2n1,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2cc3n(n2)CCNC3=O)[nH]n1)c1nc2ccccn2n1[EOS],42
12.4,O=C(Nc1ccc2nc(C3CCCCC3)[nH]c2c1)c1c[nH]c2ncc(Br)cc2c1=O,[BOS]O=C(Nc1ccc2nc(C3CCCCC3)[nH]c2c1)c1c[nH]c2ncc(Br)cc2c1=O[EOS],42
11.8,CC1Oc2cc(C(=O)NCc3cc(-c4ccc5c(c4)OCO5)no3)ccc2NC1=O,[BOS]C[C@H]1Oc2cc(C(=O)NCc3cc(-c4ccc5c(c4)OCO5)no3)ccc2NC1=O[EOS],42
11.1,Cn1c(O)cc2ccc(C(=O)NCc3ccc(Cn4cnc5ccccc54)cc3)cc21,[BOS]Cn1c(O)cc2ccc(C(=O)NCc3ccc(Cn4cnc5ccccc54)cc3)cc21[EOS],42
11.1,Nc1nc(-c2cccs2)ccc1-c1noc(C2=NN(c3ccc(F)cc3)C(=O)CC2)n1,[BOS]Nc1nc(-c2cccs2)ccc1-c1noc(C2=NN(c3ccc(F)cc3)C(=O)CC2)n1[EOS],42
11.8,NC(=O)C(=O)Nc1cccc(NC(=O)c2cc(-c3ccc(C(F)(F)F)cc3)ccc2F)c1,[BOS]NC(=O)C(=O)Nc1cccc(NC(=O)c2cc(-c3ccc(C(F)(F)F)cc3)ccc2F)c1[EOS],42
11.9,O=C(CCc1noc(-c2ccccc2)n1)Nc1ccc(C2(NC(=O)c3ccc4[nH]ccc4c3)CCC2)cc1,[BOS]O=C(CCc1noc(-c2ccccc2)n1)Nc1ccc(C2(NC(=O)c3ccc4[nH]ccc4c3)CCC2)cc1[EOS],42
13.4,O=C(OCc1cc(=O)n2ccc(-c3ccccc3)cc2n1)C1CC(=O)N(c2cccc3ccccc23)C1,[BOS]O=C(OCc1cc(=O)n2ccc(-c3ccccc3)cc2n1)[C@H]1CC(=O)N(c2cccc3ccccc23)C1[EOS],42
10.9,CC(NC(=O)CCc1ccc2c(c1)CCCO2)C(=O)N1Cc2ccccc2C1,[BOS]C[C@H](NC(=O)CCc1ccc2c(c1)CCCO2)C(=O)N1Cc2ccccc2C1[EOS],42
11.8,Cc1cc(NC(=O)C(=O)NCC2C3Cc4ccccc4C23)cnc1-c1ccccc1,[BOS]Cc1cc(NC(=O)C(=O)NC[C@@H]2[C@@H]3Cc4ccccc4[C@H]23)cnc1-c1ccccc1[EOS],42
11.7,Cc1[nH]nc2ncc(NC(=O)c3ccc([N-]S(=O)(=O)c4ccc5ccccc5c4)cc3)cc12,[BOS]Cc1[nH]nc2ncc(NC(=O)c3ccc([N-]S(=O)(=O)c4ccc5ccccc5c4)cc3)cc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.4,Nc1cnc(-c2ccc3cc(Oc4ccc(NC(=O)c5cc6cc(Br)ccc6c(Br)c5O)cc4Cl)ccc3c2)cn1,[BOS]Nc1cnc(-c2ccc3cc(Oc4ccc(NC(=O)c5cc6cc(Br)ccc6c(Br)c5O)cc4Cl)ccc3c2)cn1[EOS],42
11.2,CC(OC(=O)c1cc(N2CCCC2=O)ccc1F)c1nnc(-c2ccc3ccccc3c2)o1,[BOS]C[C@H](OC(=O)c1cc(N2CCCC2=O)ccc1F)c1nnc(-c2ccc3ccccc3c2)o1[EOS],42
14.1,O=C(Nc1cccc(C(=O)Nc2ccccn2)c1)c1cccc(NC(=O)c2ccc3ccccc3c2)c1,[BOS]O=C(Nc1cccc(C(=O)Nc2cccc(C(=O)Nc3ccccn3)c2)c1)c1ccc2ccccc2c1[EOS],42
12.8,c1ccc2cc(-c3noc(-c4cnc5c(OCC6CCOCC6)cccc5c4)n3)ccc2c1,[BOS]c1ccc2ccc(-c3noc(-c4cnc5c(OCC6CCOCC6)cccc5c4)n3)cc2c1[EOS],42
13.4,O=C(Nc1ccc(CNc2cc(=O)c3ccccc3o2)cc1)c1ccc(-c2ccc(F)cc2)c(-c2ccncn2)c1,[BOS]O=C(Nc1ccc(CNc2cc(=O)c3ccccc3o2)cc1)c1ccc(-c2ccc(F)cc2)c(-c2ccncn2)c1[EOS],42
12.0,CC1Cc2cc(C(=O)N3CCCC(CNC(=O)c4cc5ccccc5o4)C3)ccc2N1S(C)(=O)=O,[BOS]C[C@H]1Cc2cc(C(=O)N3CCC[C@H](CNC(=O)c4cc5ccccc5o4)C3)ccc2N1S(C)(=O)=O[EOS],42
12.8,CC(Oc1cccc(-c2noc(C3COc4ccccc4O3)n2)c1)C(=O)Nc1ccc(F)cc1C(F)(F)F,[BOS]C[C@H](Oc1cccc(-c2noc([C@@H]3COc4ccccc4O3)n2)c1)C(=O)Nc1ccc(F)cc1C(F)(F)F[EOS],42
15.1,O=C(Nc1cccc(CNC(=O)N2Cc3ccccc3C3(CCCc4ccccc43)C2)c1)c1ccc(=O)[nH]c1,[BOS]O=C(Nc1cccc(CNC(=O)N2Cc3ccccc3C3(CCCc4ccccc43)C2)c1)c1ccc(=O)[nH]c1[EOS],42
12.9,C[NH+]1CCC(OCc2ccc(-c3ccc4c(c3)OC(=C3C=c5cc(F)c(F)cc5=N3)N4)cc2)CC1,[BOS]C[NH+]1CCC(OCc2ccc(-c3ccc4c(c3)OC(=C3C=c5cc(F)c(F)cc5=N3)N4)cc2)CC1[EOS],42
12.0,Cc1cc2c(cc1C)OC(C(=O)Nc1nnc(-c3c(F)cccc3F)s1)C2,[BOS]Cc1cc2c(cc1C)O[C@@H](C(=O)Nc1nnc(-c3c(F)cccc3F)s1)C2[EOS],42
12.1,CC(Cc1nc(C2CCc3ccccc3C2)no1)N1C(=O)c2ccccc2C1=O,[BOS]C[C@H](Cc1nc([C@@H]2CCc3ccccc3C2)no1)N1C(=O)c2ccccc2C1=O[EOS],42
13.8,CC1(C)C(=C2Oc3cc(OCc4nc(-c5ccccc5)co4)ccc3C2=O)C(=O)c2c(Cl)cccc21,[BOS]CC1(C)C(=C2Oc3cc(OCc4nc(-c5ccccc5)co4)ccc3C2=O)C(=O)c2c(Cl)cccc21[EOS],42
11.7,CC(=O)NCC(=O)N1CCc2cc(C(=O)Nc3ccc(Oc4cccc(F)c4)c4ccccc34)ccc21,[BOS]CC(=O)NCC(=O)N1CCc2cc(C(=O)Nc3ccc(Oc4cccc(F)c4)c4ccccc34)ccc21[EOS],42
11.8,CC1(C)NC(=O)N(c2cccc(NC(=O)c3c[nH]c(-c4ccc5c(c4)OCO5)c3)c2)C1=O,[BOS]CC1(C)NC(=O)N(c2cccc(NC(=O)c3c[nH]c(-c4ccc5c(c4)OCO5)c3)c2)C1=O[EOS],42
12.1,NC(=O)c1ccc2cc(-c3ccc4nnc(-c5cccc(C(F)(F)F)c5)n4c3)ccc2c1,[BOS]NC(=O)c1ccc2cc(-c3ccc4nnc(-c5cccc(C(F)(F)F)c5)n4c3)ccc2c1[EOS],42
13.0,CC(C)(C)c1cc(COc2ccc(-c3nnc(-c4cnn(-c5cccc(F)c5)c4)[nH]3)cc2)c2ccccc2c1[O-],[BOS]CC(C)(C)c1cc(COc2ccc(-c3nnc(-c4cnn(-c5cccc(F)c5)c4)[nH]3)cc2)c2ccccc2c1[O-][EOS],42
