rv,smi,cur_sentence,seed
12.3,O=C(Cc1coc2ccc3ccccc3c12)Nc1cc(=O)n(-c2ccccc2)[nH]1,[BOS]O=C(Cc1coc2ccc3ccccc3c12)Nc1cc(=O)n(-c2ccccc2)[nH]1[EOS],42
12.6,NC(=O)C1CCCN(c2ccc(-c3noc(CC([NH3+])Cc4cccc5ccccc45)n3)cc2)C1,[BOS]NC(=O)[C@H]1CCCN(c2ccc(-c3noc(C[C@H]([NH3+])Cc4cccc5ccccc45)n3)cc2)C1[EOS],42
13.3,O=C(Nc1ccc(Oc2cnc3ccccc3c2)cc1)C(=O)NC1c2ccccc2CCC1n1ccnc1,[BOS]O=C(Nc1ccc(Oc2cnc3ccccc3c2)cc1)C(=O)N[C@H]1c2ccccc2CC[C@H]1n1ccnc1[EOS],42
13.4,O=C(COc1ccc(C(=O)C=Cc2ccc3c(c2)-c2ccccc2C3)cc1)Nc1cccc(N2CCCCCC2=O)c1,[BOS]O=C(COc1ccc(C(=O)C=Cc2ccc3c(c2)-c2ccccc2C3)cc1)Nc1cccc(N2CCCCCC2=O)c1[EOS],42
12.7,Cc1cc(-c2noc(C(C)NC(=O)C(=O)Nc3ccc4c(c3)CCCC(=O)N4)n2)ccc1F,[BOS]Cc1cc(-c2noc([C@H](C)NC(=O)C(=O)Nc3ccc4c(c3)CCCC(=O)N4)n2)ccc1F[EOS],42
12.2,CN1C(=O)CCC2CN(C(=O)c3cccc(Oc4ccc(OC(F)(F)F)cc4)c3)CCC21,[BOS]CN1C(=O)CC[C@@H]2CN(C(=O)c3cccc(Oc4ccc(OC(F)(F)F)cc4)c3)CC[C@H]21[EOS],42
10.8,Cc1cccnc1CCNC(=O)C(=O)Nc1ccc2nc3n(c(=O)c2c1)CCCCC3,[BOS]Cc1cccnc1CCNC(=O)C(=O)Nc1ccc2nc3n(c(=O)c2c1)CCCCC3[EOS],42
12.3,O=C(Nc1ccc(C2(NC(=O)C3CNc4ccccc43)CCC2)cc1)C1=NOC(c2ccccc2)C1,[BOS]O=C(Nc1ccc(C2(NC(=O)[C@@H]3CNc4ccccc43)CCC2)cc1)C1=NO[C@@H](c2ccccc2)C1[EOS],42
13.6,Cc1ccc(Oc2ccc(NC(=O)Nc3ccc4c(c3)N(C)CC4)cc2)cc1C1=NN=C(N)C2CCCN2C1O,[BOS]Cc1ccc(Oc2ccc(NC(=O)Nc3ccc4c(c3)N(C)CC4)cc2)cc1C1=NN=C(N)C2CCCN2C1O[EOS],42
11.6,Cc1c([O-])n(-c2cccc(C(=O)NCc3ccccn3)c2)c(=O)n1-c1ccc(F)cc1,[BOS]Cc1c([O-])n(-c2cccc(C(=O)NCc3ccccn3)c2)c(=O)n1-c1ccc(F)cc1[EOS],42
11.2,CC(c1ccc(NC(=O)NC2(Cc3ccccc3)CC2)cc1)[NH+]1CCOCC1,[BOS]C[C@H](c1ccc(NC(=O)NC2(Cc3ccccc3)CC2)cc1)[NH+]1CCOCC1[EOS],42
12.2,Cc1c(NC(=O)Cc2coc3cc4c(cc23)CCC4)cccc1C(=O)Nc1ccccc1,[BOS]Cc1c(NC(=O)Cc2coc3cc4c(cc23)CCC4)cccc1C(=O)Nc1ccccc1[EOS],42
12.5,Cc1ccc(-n2nc(C(=O)Nc3ccc4c(c3)CCNC4=O)c3ccccc3c2=O)c(C)c1,[BOS]Cc1ccc(-n2nc(C(=O)Nc3ccc4c(c3)CCNC4=O)c3ccccc3c2=O)c(C)c1[EOS],42
13.0,Cc1ccc(Oc2ccc(NC(=O)NCC3(C)CCCc4ccccc43)cn2)cc1C,[BOS]Cc1ccc(Oc2ccc(NC(=O)NC[C@@]3(C)CCCc4ccccc43)cn2)cc1C[EOS],42
12.6,NC(=O)N1CCc2cc(NC(=O)c3cccc(NC(=O)C4Cc5ccccc5O4)c3)ccc21,[BOS]NC(=O)N1CCc2cc(NC(=O)c3cccc(NC(=O)[C@H]4Cc5ccccc5O4)c3)ccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.5,Cc1ccc(-c2ccc(C(=O)Nc3ccc(Oc4ncnc5c4cnn5-c4ccccc4)c(Cl)c3)c(Cl)c2)cc1C,[BOS]Cc1ccc(-c2ccc(C(=O)Nc3ccc(Oc4ncnc5c4cnn5-c4ccccc4)c(Cl)c3)c(Cl)c2)cc1C[EOS],42
12.3,O=C(Nc1ccc(Cn2c(O)cc3ccc(Cl)cc32)cc1)N1CCC(c2ccc(F)cc2)C1,[BOS]O=C(Nc1ccc(Cn2c(O)cc3ccc(Cl)cc32)cc1)N1CC[C@H](c2ccc(F)cc2)C1[EOS],42
