rv,smi,cur_sentence,seed
11.6,Cc1ccc(C(=O)NC2(c3ccc(NC(=O)c4onc5ccccc45)cc3)CCC2)cc1C(F)(F)F,[BOS]Cc1ccc(C(=O)NC2(c3ccc(NC(=O)c4onc5ccccc45)cc3)CCC2)cc1C(F)(F)F[EOS],42
11.8,O=C(CNS(=O)(=O)c1ccc2ccccc2c1)Nc1ccc(CC(=O)N2CCN(c3ccccn3)CC2)cc1,[BOS]O=C(CNS(=O)(=O)c1ccc2ccccc2c1)Nc1ccc(CC(=O)N2CCN(c3ccccn3)CC2)cc1[EOS],42
12.3,O=C(Nc1cc(C2CCCCN2C(=O)c2ccccc2Oc2ccccc2)[nH]n1)c1cc2n(n1)CCNC2=O,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)c2ccccc2Oc2ccccc2)[nH]n1)c1cc2n(n1)CCNC2=O[EOS],42
13.5,O=C(C1C[NH+](Cc2ccccc2)CC1c1nnc(-c2ccc3c(c2)CCCc2ccccc2-3)o1)N1CCc2ccccc2CC1,[BOS]O=C([C@@H]1C[NH+](Cc2ccccc2)C[C@H]1c1nnc(-c2ccc3c(c2)CCCc2ccccc2-3)o1)N1CCc2ccccc2CC1[EOS],42
10.6,O=C1CC(C(O)=NC2C(=O)N(CCCO)C3CN(Cc4ccc(F)cc4)CCCC23)CN1c1cccc2ccccc12,[BOS]O=C1[C@@H](N=C(O)[C@H]2CC(=O)N(c3cccc4ccccc34)C2)[C@@H]2CCCN(Cc3ccc(F)cc3)C[C@H]2N1CCCO[EOS][EOS],42
10.8,O=C(NCC[NH+]1CCN(C(=O)C2CCCCN2C(=O)c2ccccc2)CC1)c1ccc2[nH]c(=O)[nH]c2c1,[BOS]O=C(NCC[NH+]1CCN(C(=O)[C@@H]2CCCCN2C(=O)c2ccccc2)CC1)c1ccc2[nH]c(=O)[nH]c2c1[EOS],42
13.0,Cc1cnc(C(=O)N2CCC([NH+]3CCC(NC(=O)c4cccc5c4oc4cc(-c6ccccc6)ccc45)CC3)CC2)cn1,[BOS]Cc1cnc(C(=O)N2CCC([NH+]3CCC(NC(=O)c4cccc5c4oc4cc(-c6ccccc6)ccc45)CC3)CC2)cn1[EOS],42
13.9,O=C1CC2(CCC(c3nnc(-c4cc(-c5ccccc5)nc5ccccc45)o3)CC2)c2ccccc2N1C1CCCC1,[BOS]O=C1CC2(CCC(c3nnc(-c4cc(-c5ccccc5)nc5ccccc45)o3)CC2)c2ccccc2N1C1CCCC1[EOS],42
11.8,O=C(c1nnc2c(F)cccn12)N1CCC(c2nc(C3(c4cccc(C(F)(F)F)c4)CCCCC3)no2)CC1,[BOS]O=C(c1nnc2c(F)cccn12)N1CCC(c2nc(C3(c4cccc(C(F)(F)F)c4)CCCCC3)no2)CC1[EOS],42
11.9,O=C1NCc2cc(C(=O)N3CCCC4(CCN(C(=O)c5cccc6ccccc56)CC4)C3)ccc21,[BOS]O=C1NCc2cc(C(=O)N3CCCC4(CCN(C(=O)c5cccc6ccccc56)CC4)C3)ccc21[EOS],42
14.1,O=C(C=Cc1nc(-c2cc3ccccc3c3ccccc23)no1)c1ccc2ccc(-c3ccccc3)nc2c1,[BOS]O=C(C=Cc1nc(-c2cc3ccccc3c3ccccc23)no1)c1ccc2ccc(-c3ccccc3)nc2c1[EOS],42
11.9,O=C(Nc1cc(C2CCCCN2C(=O)Cc2c[nH]c3ccccc23)[nH]n1)c1ncn(-c2cccc(F)c2)n1,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)Cc2c[nH]c3ccccc23)[nH]n1)c1ncn(-c2cccc(F)c2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.9,O=c1c2ccccc2c(-c2ccccc2)nn1CCc1nc(-c2ccc(-n3cnc4ccccc43)nc2)no1,[BOS]O=c1c2ccccc2c(-c2ccccc2)nn1CCc1nc(-c2ccc(-n3cnc4ccccc43)nc2)no1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.4,Cc1cccc2c(C(=O)NC3CCc4nc(NC(=O)C5ON=C(c6ccccc6)O5)sc4C3)[nH]nc12,[BOS]Cc1cccc2c(C(=O)N[C@@H]3CCc4nc(NC(=O)[C@@H]5ON=C(c6ccccc6)O5)sc4C3)[nH]nc12[EOS],42
