rv,smi,cur_sentence,seed
11.7,O=C(NC(c1ccccc1)c1cccnn1)c1cc(-c2ccc(F)cc2)nc2ccc(Cl)cc12,[BOS]O=C(N[C@@H](c1ccccc1)c1cccnn1)c1cc(-c2ccc(F)cc2)nc2ccc(Cl)cc12[EOS],42
11.2,CC(=Cc1cccnc1)C(=O)NC1CC2CCC(C1)N2C(=O)c1cc(C(F)(F)F)nc2ccccc12,[BOS]CC(=Cc1cccnc1)C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc(C(F)(F)F)nc2ccccc12[EOS],42
10.5,CCc1nc(NC2CCCN(c3ccc(F)cc3C)C2)cc(-c2nn[n-]n2)n1,[BOS]CCc1nc(N[C@H]2CCCN(c3ccc(F)cc3C)C2)cc(-c2nn[n-]n2)n1[EOS],42
10.6,Cc1cc(C)n2nc(C)c(-c3nc(-c4cc(C(F)(F)F)ccc4C(F)(F)F)no3)c2n1,[BOS]Cc1cc(C)n2nc(C)c(-c3nc(-c4cc(C(F)(F)F)ccc4C(F)(F)F)no3)c2n1[EOS],42
11.6,Brc1ccc(-c2nc(N3CCOCC3)c3ccc(-c4ccccc4)nc3n2)c2cc3c(nc12)CCCCC3,[BOS]Brc1ccc(-c2nc(N3CCOCC3)c3ccc(-c4ccccc4)nc3n2)c2cc3c(nc12)CCCCC3[EOS],42
13.5,Fc1cccc2oc(-c3cc4ccccc4c(-c4ccc5ccccc5c4)c3-n3cc(-c4cccc5ccccc45)cn3)cc12,[BOS]Fc1cccc2oc(-c3cc4ccccc4c(-c4ccc5ccccc5c4)c3-n3cc(-c4cccc5ccccc45)cn3)cc12[EOS],42
11.4,O=C(Nc1cc(C2CCCCN2C(=O)C=Cc2cccc(O)c2)[nH]n1)c1cccc2c1oc1ccccc12,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)C=Cc2cccc(O)c2)[nH]n1)c1cccc2c1oc1ccccc12[EOS],42
11.8,O=C(NC(Cc1ccccc1)C(=O)Oc1cnc2ccccc2c1)OCC1c2ccccc2-c2ccccc21,[BOS]O=C(Oc1cnc2ccccc2c1)C(Cc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc21[EOS],42
12.3,Cc1ccnc(-c2ccccc2CNc2cccc(-c3ccc4cc(F)c(C)cc4c3)c2)c1,[BOS]Cc1ccnc(-c2ccccc2CNc2cccc(-c3ccc4cc(F)c(C)cc4c3)c2)c1[EOS],42
11.3,O=c1[nH]cc(-c2nc(C3(c4ccc(F)cc4F)CCC3)nn2-c2ccc([N+](=O)[O-])cn2)c(=O)[nH]1,[BOS]O=c1[nH]c(=O)[nH]cc1-c1nc(C2(c3ccc(F)cc3F)CCC2)nn1-c1ccc([N+](=O)[O-])cn1[EOS],42
11.0,O=c1[nH]c(-c2ccc3ccccc3c2)c([O-])n1Cc1ccc(F)c2ccccc12,[BOS]O=c1[nH]c(-c2ccc3ccccc3c2)c([O-])n1Cc1ccc(F)c2ccccc12[EOS],42
12.4,FC1CNCC1Nc1nccc(-c2nc(NCC3CC4c5ccccc5C3c3ccccc34)c3ccccc3n2)n1,[BOS]c1ccc2c(NC[C@H]3CC4c5ccccc5C3c3ccccc34)nc(-c3ccnc(N[C@H]4CNC[C@@H]4F)n3)nc2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.0,CCc1ccnc(-c2noc(C3CCCN(C(=O)c4ccc(Cl)c(Cl)c4)C3)n2)c1,[BOS]CCc1ccnc(-c2noc([C@@H]3CCCN(C(=O)c4ccc(Cl)c(Cl)c4)C3)n2)c1[EOS],42
11.4,Cc1nc(-c2ccccn2)nc(NCC2CCCOC2c2ccc(F)cc2)c1Cc1ccccc1F,[BOS]Cc1nc(-c2ccccn2)nc(NC[C@@H]2CCCO[C@@H]2c2ccc(F)cc2)c1Cc1ccccc1F[EOS],42
13.9,[NH3+]C1CCN(C(c2cc3ccccc3o2)c2nc(-c3ccnc4ccccc34)no2)c2ccccc21,[BOS][NH3+][C@@H]1CCN([C@H](c2cc3ccccc3o2)c2nc(-c3ccnc4ccccc34)no2)c2ccccc21[EOS],42
11.8,O=C(Cn1nc(-c2ccccc2)cc(C(F)(F)F)c1=O)Nc1nc(-c2ccc3c(c2)CCCC3)c2ccccn12,[BOS]O=C(Cn1nc(-c2ccccc2)cc(C(F)(F)F)c1=O)Nc1nc(-c2ccc3c(c2)CCCC3)c2ccccn1-2[EOS],42
12.6,Fc1ccc(C2OCC(c3nnc(-c4cc(-c5ccco5)nc5ccccc45)o3)c3cc(F)ccc32)c(Cl)c1,[BOS]Fc1ccc2c(c1)[C@H](c1nnc(-c3cc(-c4ccco4)nc4ccccc34)o1)CO[C@H]2c1ccc(F)cc1Cl[EOS],42
11.6,O=C(NCC1(Cc2ccc(F)cc2)CCCC1O)c1ccc([O-])c2c1C(=O)c1ccccc1C2=O,[BOS]O=C(NC[C@@]1(Cc2ccc(F)cc2)CCC[C@H]1O)c1ccc([O-])c2c1C(=O)c1ccccc1C2=O[EOS],42
10.0,CC1CC(NC(=O)NCc2cccc(NC(=O)c3ccccc3)c2)C[NH+]1Cc1ccccc1,[BOS]C[C@H]1C[C@H](NC(=O)NCc2cccc(NC(=O)c3ccccc3)c2)C[NH+]1Cc1ccccc1[EOS],42
12.2,Clc1cnc2ccccc2c1-c1nc(-c2ccc3c(c2)CCC3)c(-c2ccccc2P(c2ccccc2)c2ccccc2)o1,[BOS]Clc1cnc2ccccc2c1-c1nc(-c2ccc3c(c2)CCC3)c(-c2ccccc2P(c2ccccc2)c2ccccc2)o1[EOS],42
